service_id,plan_name,plan_duration,main_price,discount,most_popular
111,lite,Monthly,100000,50,0
111,standard,Monthly,100000,25,1
111,advance,Monthly,125000,20,0
111,enterprise,Monthly,250000,20,0
111,lite,Quarterly,200000,25,0
111,standard,Quarterly,100000,25,1
111,advance,Quarterly,125000,20,0
111,enterprise,Quarterly,250000,20,0
111,lite,Half Yearly,100000,50,0
111,standard,Half Yearly,100000,25,1
111,advance,Half Yearly,125000,20,0
111,enterprise,Half Yearly,250000,20,0
111,lite,Yearly,100000,50,0
111,standard,Yearly,100000,25,1
111,advance,Yearly,125000,20,0
111,enterprise,Yearly,250000,20,0
